"","x"
"1",143.5
"2",128.0833333
"3",153.75
"4",148.3333333
"5",119.6
"6",147.4166667
"7",128.875
"8",83
"9",116.582638488016
"10",135.1666667
"11",117.8888889
"12",116.582638488016
"13",161.8333333
"14",88
"15",132
"16",130.5
"17",120.6666667
"18",112.4444444
"19",132.8333333
"20",132.125
"21",136.9166667
"22",96.33333333
"23",121.8888889
"24",118.3333333
"25",128.1111111
"26",126.25
"27",117.5555556
"28",105.5
"29",150.4166667
"30",114.75
"31",116.582638488016
"32",136
"33",141.1666667
"34",127.25
"35",127.1666667
"36",130.5833333
"37",123.1428571
"38",152.5
"39",77
"40",137.1666667
"41",129.1666667
"42",136.5555556
"43",128.9166667
"44",142.4166667
"45",116.582638488016
"46",129.5833333
"47",116.582638488016
"48",123.9166667
"49",87.44444444
"50",113.5833333
"51",128
"52",99.16666667
"53",102.9166667
"54",104.0833333
"55",132.4166667
"56",94.08333333
"57",144.8
"58",133.75
"59",91.16666667
"60",106
"61",139.3333333
"62",106.6
"63",132.5833333
"64",143.1666667
"65",116.582638488016
"66",116.125
"67",137
"68",114.6666667
"69",123.4444444
"70",150.4444444
"71",93.16666667
"72",101.6666667
"73",140.5
"74",83.88888889
"75",134.3333333
"76",114.8888889
"77",86.16666667
"78",105.5
"79",95.08333333
"80",131.1111111
"81",93.83333333
"82",114.25
"83",112.7777778
"84",116.582638488016
"85",143.4444444
"86",116.582638488016
"87",90.90909091
"88",108.8333333
"89",123.3333333
"90",136.0833333
"91",135.0833333
"92",106.8888889
"93",90.91666667
"94",135.0833333
"95",160.1666667
"96",132.1111111
"97",116.582638488016
"98",153.0833333
"99",116.5555556
"100",136
"101",144.3333333
"102",139.6
"103",128.8888889
"104",110.8181818
"105",87.5
"106",130.2222222
"107",139.2222222
"108",107.1
"109",99.81818182
"110",129.3333333
"111",194.3333333
"112",97.5
"113",75
"114",157.1
"115",70
"116",105.9166667
"117",90.66666667
"118",140.6666667
"119",107.9
"120",81.1
"121",153.6666667
"122",143.8333333
"123",113.3333333
"124",116.8333333
"125",98.08333333
"126",98.22222222
"127",102.1666667
"128",134
"129",96.11111111
"130",129.1111111
"131",143.9166667
"132",110.8333333
"133",134.6666667
"134",161
"135",159.4444444
"136",87.16666667
"137",88.11111111
"138",151.6666667
"139",116.582638488016
"140",131.6666667
"141",90
"142",159.75
"143",97.41666667
"144",112.75
"145",126.1666667
"146",128
"147",122.4444444
"148",117.8333333
"149",127.4166667
"150",107.0833333
"151",106
"152",120.0833333
